x,y
180,577
175,576
170,576
165,575
160,575
154,575
149,574
144,574
139,573
134,572
128,571
123,570
118,569
113,567
107,564
102,561
97,557
93,552
89,547
86,541
84,536
82,531
81,526
80,521
80,515
79,510
79,505
78,500
77,494
77,489
76,484
76,479
75,474
74,468
74,463
73,458
73,453
72,447
72,442
71,437
71,432
70,427
69,421
69,416
68,411
68,406
67,401
67,395
66,390
66,385
65,380
65,374
64,369
64,364
63,359
63,354
62,348
62,343
62,338
61,333
61,328
61,322
61,317
61,312
61,307
62,301
63,296
64,291
66,286
68,281
71,275
73,270
76,265
78,260
82,254
86,249
90,244
94,239
98,234
104,229
109,225
114,221
119,217
124,213
130,209
135,205
140,201
145,197
151,193
156,189
161,186
166,183
171,181
177,181
182,181
187,182
192,184
197,186
202,191
206,196
209,201
211,206
212,212
211,217
211,222
209,227
206,232
201,238
196,242
191,245
186,246
180,248
175,250
170,251
165,253
160,254
154,257
150,261
148,266
147,271
147,276
148,282
150,287
153,292
158,297
164,302
169,306
174,310
179,313
184,317
190,322
195,325
200,329
205,333
211,337
216,341
221,345
226,349
231,352
237,357
242,361
247,364
252,368
257,372
263,376
268,380
273,384
278,388
284,392
289,396
294,400
299,403
304,407
310,412
315,415
320,419
325,423
330,427
336,431
341,435
346,439
351,442
357,447
362,451
367,454
372,458
377,462
383,466
388,470
393,474
398,478
404,482
409,486
414,489
419,490
424,490
430,488
435,487
440,486
445,484
450,482
456,480
461,477
466,475
471,472
477,468
482,465
487,462
492,457
492,452
486,450
481,449
476,448
471,448
466,447
460,447
455,446
450,445
445,445
439,444
434,442
429,439
425,434
424,429
424,423
425,418
427,413
429,408
432,402
435,397
438,392
440,387
443,382
446,376
449,371
451,366
454,361
457,356
460,350
463,345
465,340
468,335
470,329
472,324
473,319
474,314
475,309
475,303
474,298
473,293
472,288
471,283
469,277
467,272
465,267
464,262
461,256
460,251
458,246
456,241
455,236
453,230
453,225
452,220
452,215
452,209
452,204
454,199
456,194
460,189
464,183
469,178
474,173
478,168
482,163
488,157
492,152
497,147
501,142
507,136
511,131
516,126
520,121
524,116
530,110
534,105
539,100
543,95
548,89
553,84
557,79
562,74
566,69
572,63
576,58
581,53
585,48
590,43
595,37
599,32
604,27
608,22
614,16
619,11
624,6
629,3
634,1
640,0
645,1
650,1
655,1
660,2
666,3
671,4
676,6
681,7
687,10
692,12
697,15
702,18
707,22
713,27
716,32
718,37
718,42
716,48
714,53
711,58
708,63
705,68
710,72
715,75
720,77
725,80
730,83
736,86
741,89
746,92
751,95
757,98
762,102
767,105
772,108
777,111
783,115
788,118
793,121
798,124
803,126
809,129
814,131
819,133
824,135
830,137
835,139
840,140
845,141
850,143
856,144
861,145
866,147
871,149
877,153
882,156
887,161
891,166
894,171
896,177
898,182
899,187
900,192
900,197
899,203
898,208
896,213
894,218
890,224
887,229
882,234
878,239
873,244
867,250
862,255
857,260
852,265
847,270
841,276
836,280
831,285
826,289
820,294
815,298
810,302
805,307
800,311
794,316
789,320
784,324
779,328
773,333
768,337
763,341
758,345
753,349
747,354
742,358
737,362
732,366
727,370
721,375
716,379
711,384
706,388
700,392
695,397
690,401
685,405
680,409
674,414
669,418
664,422
659,426
653,431
648,435
643,439
638,443
633,447
627,452
622,456
617,460
612,464
607,468
601,473
596,478
592,483
589,488
587,494
585,499
584,504
582,509
580,514
578,520
576,525
573,530
570,535
567,540
562,546
557,550
552,552
547,554
541,555
536,556
531,556
526,555
521,554
515,552
510,549
505,547
500,544
494,541
489,540
484,539
479,539
474,540
468,542
463,544
458,546
453,549
448,552
442,555
437,559
432,562
427,565
421,568
416,570
411,572
406,573
401,573
395,572
390,571
385,569
380,567
375,565
369,563
364,562
359,561
354,561
348,561
343,561
338,562
333,562
328,563
322,564
317,565
312,566
307,567
301,568
296,568
291,569
286,570
281,571
275,571
270,572
265,573
260,573
255,574
249,574
244,575
239,575
234,576
228,576
223,576
218,576
213,577
208,577
202,577
197,577
192,577
187,577
181,577
